Region,Localidad,Precio_USD_kWh,Fuente_Tarifa,URL_Fuente,Sistema de Enfriamiento,Horas Totales,Free Cooling Hours,FCH %,Energia Total (kWh),OPEX 3 Anios (USD)
Sudamérica,"Montevideo, Uruguay",0.13,IEA Energy Prices 2024,https://www.iea.org/data-and-statistics/data-product/energy-prices,Termosifon Bifasico Original,26304,9876,37.5,3550560.0,461572.8
Sudamérica,"Montevideo, Uruguay",0.13,IEA Energy Prices 2024,https://www.iea.org/data-and-statistics/data-product/energy-prices,D2C Bifasico (Direct-to-Chip),26304,24566,93.4,2787990.0,362438.7
Sudamérica,"Montevideo, Uruguay",0.13,IEA Energy Prices 2024,https://www.iea.org/data-and-statistics/data-product/energy-prices,Inmersion Liquida Bifasica,26304,26294,100.0,2683088.0,348801.44
Sudamérica,"Ushuaia, Argentina",0.085,IEA Energy Prices 2024,https://www.iea.org/data-and-statistics/data-product/energy-prices,CRAC (Aire Acond. Tradicional),26304,0,0.0,4734720.0,402451.2
Sudamérica,"Ushuaia, Argentina",0.085,IEA Energy Prices 2024,https://www.iea.org/data-and-statistics/data-product/energy-prices,RDHx (Puerta Trasera),26304,23047,87.6,3138955.0,266811.18
Sudamérica,"Ushuaia, Argentina",0.085,IEA Energy Prices 2024,https://www.iea.org/data-and-statistics/data-product/energy-prices,Termosifon Bifasico Original,26304,25960,98.7,2907200.0,247112.0
Sudamérica,"Ushuaia, Argentina",0.085,IEA Energy Prices 2024,https://www.iea.org/data-and-statistics/data-product/energy-prices,D2C Bifasico (Direct-to-Chip),26304,26304,100.0,2761920.0,234763.2
Sudamérica,"Ushuaia, Argentina",0.085,IEA Energy Prices 2024,https://www.iea.org/data-and-statistics/data-product/energy-prices,Inmersion Liquida Bifasica,26304,26304,100.0,2683008.0,228055.68
,"Bogota, Colombia",0,,,CRAC (Aire Acond. Tradicional),0,0,0,0.0,0.0
,"Bogota, Colombia",0,,,RDHx (Puerta Trasera),0,0,0,0.0,0.0
,"Bogota, Colombia",0,,,Termosifon Bifasico Original,0,0,0,0.0,0.0
,"Bogota, Colombia",0,,,D2C Bifasico (Direct-to-Chip),0,0,0,0.0,0.0
,"Bogota, Colombia",0,,,Inmersion Liquida Bifasica,0,0,0,0.0,0.0
Sudamérica,"Quito, Ecuador",0.1,IEA Energy Prices 2024,https://www.iea.org/data-and-statistics/data-product/energy-prices,CRAC (Aire Acond. Tradicional),26304,0,0.0,4734720.0,473472.0
Sudamérica,"Quito, Ecuador",0.1,IEA Energy Prices 2024,https://www.iea.org/data-and-statistics/data-product/energy-prices,RDHx (Puerta Trasera),26304,9148,34.8,3625420.0,362542.0
Sudamérica,"Quito, Ecuador",0.1,IEA Energy Prices 2024,https://www.iea.org/data-and-statistics/data-product/energy-prices,Termosifon Bifasico Original,26304,20550,78.1,3123600.0,312360.0
